xp,yp,zp,xv,yv,zv,xd,yd,zd,spd,t
-1952.5,-2047.5,7317.5,150,-150,-50,1,0,0,217.94494717703367,13.65
-1945,-2055,7315,150,-150,-50,1,0,0,217.94494717703367,13.700000000000001
-1937.5,-2062.5,7312.5,150,-150,-50,1,0,0,217.94494717703367,13.75
-1930,-2070,7310,150,-150,-50,1,0,0,217.94494717703367,13.8
-1922.5,-2077.5,7307.5,150,-150,-50,1,0,0,217.94494717703367,13.850000000000001
-1915,-2085,7305,150,-150,-50,1,0,0,217.94494717703367,13.9
-1907.5,-2092.5,7302.5,150,-150,-50,1,0,0,217.94494717703367,13.950000000000001
-1900,-2100,7300,150,-150,-50,1,0,0,217.94494717703367,14
-1892.5,-2107.5,7297.5,150,-150,-50,1,0,0,217.94494717703367,14.05
-1885,-2115,7295,150,-150,-50,1,0,0,217.94494717703367,14.100000000000001
-1877.5,-2122.5,7292.5,150,-150,-50,1,0,0,217.94494717703367,14.15
-1870,-2130,7290,150,-150,-50,1,0,0,217.94494717703367,14.200000000000001
-1862.5,-2137.5,7287.5,150,-150,-50,1,0,0,217.94494717703367,14.25
-1855,-2145,7285,150,-150,-50,1,0,0,217.94494717703367,14.3
-1847.5,-2152.5,7282.5,150,-150,-50,1,0,0,217.94494717703367,14.350000000000001
-1840,-2160,7280,150,-150,-50,1,0,0,217.94494717703367,14.4
-1832.5,-2167.5,7277.5,150,-150,-50,1,0,0,217.94494717703367,14.450000000000001
-1825,-2175,7275,150,-150,-50,1,0,0,217.94494717703367,14.5
-1817.5,-2182.5,7272.5,150,-150,-50,1,0,0,217.94494717703367,14.55
-1810,-2190,7270,150,-150,-50,1,0,0,217.94494717703367,14.600000000000001
-1802.5,-2197.5,7267.5,150,-150,-50,1,0,0,217.94494717703367,14.65
-1795,-2205,7265,150,-150,-50,1,0,0,217.94494717703367,14.700000000000001
-1787.5,-2212.5,7262.5,150,-150,-50,1,0,0,217.94494717703367,14.75
-1780,-2220,7260,150,-150,-50,1,0,0,217.94494717703367,14.8
-1772.5,-2227.5,7257.5,150,-150,-50,1,0,0,217.94494717703367,14.850000000000001
-1765,-2235,7255,150,-150,-50,1,0,0,217.94494717703367,14.9
-1757.5,-2242.5,7252.5,150,-150,-50,1,0,0,217.94494717703367,14.950000000000001
-1750,-2250,7250,150,-150,-50,1,0,0,217.94494717703367,15
-1742.5,-2257.5,7247.5,150,-150,-50,1,0,0,217.94494717703367,15.05
-1735,-2265,7245,150,-150,-50,1,0,0,217.94494717703367,15.100000000000001
-1727.5,-2272.5,7242.5,150,-150,-50,1,0,0,217.94494717703367,15.15
-1720,-2280,7240,150,-150,-50,1,0,0,217.94494717703367,15.200000000000001
-1712.5,-2287.5,7237.5,150,-150,-50,1,0,0,217.94494717703367,15.25
-1705,-2295,7235,150,-150,-50,1,0,0,217.94494717703367,15.3
-1697.5,-2302.5,7232.5,150,-150,-50,1,0,0,217.94494717703367,15.350000000000001
-1690,-2310,7230,150,-150,-50,1,0,0,217.94494717703367,15.4
-1682.5,-2317.5,7227.5,150,-150,-50,1,0,0,217.94494717703367,15.450000000000001
-1675,-2325,7225,150,-150,-50,1,0,0,217.94494717703367,15.5
-1667.5,-2332.5,7222.5,150,-150,-50,1,0,0,217.94494717703367,15.55
-1660,-2340,7220,150,-150,-50,1,0,0,217.94494717703367,15.600000000000001
-1652.5,-2347.5,7217.5,150,-150,-50,1,0,0,217.94494717703367,15.65
-1645,-2355,7215,150,-150,-50,1,0,0,217.94494717703367,15.700000000000001
-1637.5,-2362.5,7212.5,150,-150,-50,1,0,0,217.94494717703367,15.75
-1630,-2370,7210,150,-150,-50,1,0,0,217.94494717703367,15.8
-1622.5,-2377.5,7207.5,150,-150,-50,1,0,0,217.94494717703367,15.850000000000001
-1615,-2385,7205,150,-150,-50,1,0,0,217.94494717703367,15.9
-1607.5,-2392.5,7202.5,150,-150,-50,1,0,0,217.94494717703367,15.950000000000001
-1600,-2400,7200,150,-150,-50,1,0,0,217.94494717703367,16
-1592.5,-2407.5,7197.5,150,-150,-50,1,0,0,217.94494717703367,16.05
-1585,-2415,7195,150,-150,-50,1,0,0,217.94494717703367,16.1
-1577.5,-2422.5,7192.5,150,-150,-50,1,0,0,217.94494717703367,16.150000000000002
-1570,-2430,7190,150,-150,-50,1,0,0,217.94494717703367,16.2
-1562.5,-2437.5,7187.5,150,-150,-50,1,0,0,217.94494717703367,16.25
-1555,-2445,7185,150,-150,-50,1,0,0,217.94494717703367,16.3
-1547.5,-2452.5,7182.5,150,-150,-50,1,0,0,217.94494717703367,16.35
-1540,-2460,7180,150,-150,-50,1,0,0,217.94494717703367,16.400000000000002
-1532.5,-2467.5,7177.5,150,-150,-50,1,0,0,217.94494717703367,16.45
-1525,-2475,7175,150,-150,-50,1,0,0,217.94494717703367,16.5
-1517.5,-2482.5,7172.5,150,-150,-50,1,0,0,217.94494717703367,16.55
-1510,-2490,7170,150,-150,-50,1,0,0,217.94494717703367,16.6
-1502.5,-2497.5,7167.5,150,-150,-50,1,0,0,217.94494717703367,16.650000000000002
-1495,-2505,7165,150,-150,-50,1,0,0,217.94494717703367,16.7
-1487.5,-2512.5,7162.5,150,-150,-50,1,0,0,217.94494717703367,16.75
-1480,-2520,7160,150,-150,-50,1,0,0,217.94494717703367,16.8
